split,aspect,source_column,label,label_name,count,proportion,proportion_among_valid,missing_count,mentioned_count,not_mentioned_count
train,material,Chất liệu,0,not_mentioned,33598,0.37689158113186383,0.3769169499321285,6,55541,33598
train,material,Chất liệu,1,negative,17545,0.19681417914633462,0.19682742682776339,6,55541,33598
train,material,Chất liệu,2,neutral,14133,0.1585394581861013,0.1585501295729142,6,55541,33598
train,material,Chất liệu,3,positive,23863,0.26768747546132704,0.26770549366719393,6,55541,33598
train,design,Kiểu dáng,0,not_mentioned,29996,0.3364855011498121,0.3365534574259203,18,59131,29996
train,design,Kiểu dáng,1,negative,17711,0.19867631387066015,0.1987164383407946,18,59131,29996
train,design,Kiểu dáng,2,neutral,15827,0.17754220651747155,0.17757806276436994,18,59131,29996
train,design,Kiểu dáng,3,positive,25593,0.2870940602389366,0.28715204146891515,18,59131,29996
train,size,Kích cỡ,0,not_mentioned,28262,0.3170340456559538,0.31707672803563214,12,60871,28262
train,size,Kích cỡ,1,negative,22058,0.24743956475405238,0.24747287760986392,12,60871,28262
train,size,Kích cỡ,2,neutral,11931,0.13383812889113242,0.1338561475547777,12,60871,28262
train,size,Kích cỡ,3,positive,26882,0.30155364855011496,0.30159424679972624,12,60871,28262
train,price,Giá cả,0,not_mentioned,40904,0.45884794436031184,0.4589148678364673,13,48228,40904
train,price,Giá cả,1,negative,12383,0.13890851982724775,0.1389287797872818,13,48228,40904
train,price,Giá cả,2,neutral,16126,0.18089629255706993,0.18092267647982768,13,48228,40904
train,price,Giá cả,3,positive,19719,0.22120141342756183,0.2212336758964233,13,48228,40904
train,service,Dịch vụ,0,not_mentioned,33227,0.37272982219978684,0.3728176473228311,21,55897,33227
train,service,Dịch vụ,1,negative,17332,0.1944248135060856,0.19447062519635563,21,55897,33227
train,service,Dịch vụ,2,neutral,11524,0.1292725335128162,0.12930299358197567,21,55897,33227
train,service,Dịch vụ,3,positive,27041,0.3033372595210051,0.3034087338988376,21,55897,33227
