split,metric,percentile,value
train,characters,p00,3.0
train,characters,p01,43.0
train,characters,p05,65.0
train,characters,p25,121.0
train,characters,p50,175.0
train,characters,p75,235.0
train,characters,p90,316.0
train,characters,p95,441.0
train,characters,p99,526.0
train,characters,p100,706.0
train,whitespace_tokens,p00,1.0
train,whitespace_tokens,p01,10.0
train,whitespace_tokens,p05,15.0
train,whitespace_tokens,p25,27.0
train,whitespace_tokens,p50,39.0
train,whitespace_tokens,p75,52.0
train,whitespace_tokens,p90,71.0
train,whitespace_tokens,p95,100.0
train,whitespace_tokens,p99,120.0
train,whitespace_tokens,p100,161.0
train,lines,p00,1.0
train,lines,p01,1.0
train,lines,p05,1.0
train,lines,p25,1.0
train,lines,p50,1.0
train,lines,p75,1.0
train,lines,p90,1.0
train,lines,p95,1.0
train,lines,p99,3.0
train,lines,p100,13.0
